model_name,epoch,timestamp,train_loss,train_auc,train_accuracy,train_f1,train_precision,train_recall,val_auc,val_accuracy,val_f1,val_precision,val_recall,hidden_dim,num_layers,drop_out,learning_rate,total_epochs,optimizer_type,pos_weight,model_description,device,total_params
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,0,2025-08-29T00:16:07.964832,4.507141590118408,0.4379719179284914,0.8788968824940048,0.0,0.0,0.0,0.4345658496053178,0.89568345323741,0.0,0.0,0.0,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,10,2025-08-29T00:16:08.236419,1.984208106994629,0.4947438979914362,0.1300959232613908,0.2160994057266342,0.1212856276531231,0.99009900990099,0.4210981858468356,0.1115107913669064,0.1901639344262295,0.1050724637681159,1.0,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,20,2025-08-29T00:16:08.497671,1.482168674468994,0.4802706225602096,0.6546762589928058,0.1165644171779141,0.0844444444444444,0.1881188118811881,0.4404514610164797,0.6384892086330936,0.090497737556561,0.0613496932515337,0.1724137931034483,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,30,2025-08-29T00:16:08.762677,1.341352105140686,0.5229576675266435,0.1744604316546762,0.2233502538071066,0.1260343730108211,0.9801980198019802,0.4255297050270046,0.158273381294964,0.1931034482758621,0.10727969348659,0.9655172413793104,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,40,2025-08-29T00:16:09.042931,1.2882041931152344,0.4923969716207637,0.6013189448441247,0.1677096370463078,0.1122278056951423,0.3316831683168317,0.4469948760559479,0.5773381294964028,0.1064638783269962,0.0682926829268292,0.2413793103448276,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,50,2025-08-29T00:16:09.310522,1.258678317070007,0.5296995934245539,0.2176258992805755,0.2245989304812834,0.1276164753544902,0.9356435643564356,0.4774269491760143,0.2014388489208633,0.1927272727272727,0.1077235772357723,0.913793103448276,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,60,2025-08-29T00:16:09.593455,1.2426763772964478,0.5536686342576959,0.4490407673860911,0.2178723404255319,0.131551901336074,0.6336633663366337,0.5463924664173937,0.4514388489208633,0.2118863049095607,0.1246200607902735,0.7068965517241379,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,70,2025-08-29T00:16:09.866920,1.2345689535140991,0.5939614766387963,0.3147482014388489,0.2354515050167224,0.1361175560711523,0.8712871287128713,0.5946891012325163,0.3111510791366906,0.2167689161554192,0.1229698375870069,0.913793103448276,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,80,2025-08-29T00:16:10.134534,1.229760766029358,0.5965329650291087,0.4532374100719424,0.2412645590682196,0.145,0.7178217821782178,0.5935812214374742,0.4730215827338129,0.2389610389610389,0.1406727828746177,0.7931034482758621,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,90,2025-08-29T00:16:10.408311,1.226271629333496,0.6076344332932611,0.4184652278177458,0.2457231726283048,0.1457564575645756,0.7821782178217822,0.5881803074366432,0.4334532374100719,0.2298288508557457,0.1339031339031339,0.8103448275862069,64,2,0.0,0.0001,1000,adam,7.6875,limited_pat_emb,cpu,100545
